"Q3_4","Q3_5","Q5","Q16","Q26","Q30","ppage","educ","race","gender","income_cat","voter_category","pols_dont_care","media_greed","election_results_matter","party","vote_freq","income_cat_coded","voter_cat_coded","educ_coded"
2,2,2,1,1,2,70,"Some college","Other/Mixed","Male","Less than $40k","always","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Democrat","Always/Almost Always",1,3,2
4,2,1,1,1,3,23,"High school or less","White","Male","$75-125k","always","Somewhat Agree","Strongly Disagree","Who wins the Election really matters","Independent","Always/Almost Always",3,3,1
2,2,1,1,1,2,69,"College","White","Female","$40-75k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,3
1,2,1,2,1,-1,74,"High school or less","White","Female","Less than $40k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters",NA,"Always/Almost Always",1,2,1
1,2,1,1,1,1,85,"Some college","White","Male","$125k or more","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,2
2,2,1,2,1,2,32,"College","Other/Mixed","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,3
2,1,1,1,1,2,28,"College","White","Male","$125k or more","rarely/never","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",4,1,3
2,2,1,2,-1,5,28,"College","Hispanic","Male","$75-125k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","No Preference",NA,3,1,3
2,2,2,2,4,3,29,"Some college","Other/Mixed","Female","Less than $40k","rarely/never","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Independent","Never",1,1,2
1,2,1,1,1,1,58,"Some college","White","Female","Less than $40k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,3,2
1,-1,1,1,1,3,85,"High school or less","White","Female","$40-75k","always",NA,"Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,1
2,2,1,1,1,2,48,"College","White","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,3
2,1,1,3,2,2,31,"High school or less","Black","Male","Less than $40k","sporadic","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Sometimes",1,2,1
1,2,1,1,4,1,40,"High school or less","White","Female","Less than $40k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Never",1,1,1
1,3,1,1,1,2,32,"College","Other/Mixed","Female","$125k or more","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
2,2,1,2,1,2,33,"Some college","Black","Female","$40-75k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,2
3,1,1,2,1,2,67,"High school or less","Black","Female","$75-125k","always","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,1
2,1,1,1,1,1,49,"College","Hispanic","Male","$75-125k","sporadic","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,3
1,2,1,1,1,1,66,"Some college","White","Male","$125k or more","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,2
2,2,1,2,4,1,58,"High school or less","White","Male","Less than $40k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Never",1,1,1
2,2,1,1,1,2,55,"Some college","Black","Male","$40-75k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,2
3,1,1,1,1,2,56,"Some college","White","Male","$125k or more","sporadic","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,2
1,3,1,1,1,2,33,"College","White","Male","$75-125k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
3,2,1,1,1,3,42,"College","White","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,3
1,1,1,1,1,1,65,"High school or less","White","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
1,2,2,1,1,2,41,"High school or less","Hispanic","Female","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","Democrat","Always/Almost Always",3,2,1
3,2,1,1,2,2,70,"High school or less","White","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Sometimes",3,2,1
1,4,2,1,1,1,59,"Some college","White","Female","$125k or more","sporadic","Strongly Disagree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",4,2,2
1,2,2,1,1,1,64,"High school or less","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",3,2,1
1,1,1,2,2,2,27,"Some college","Hispanic","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Sometimes",1,1,2
1,2,1,1,1,3,82,"College","White","Male","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,3
2,1,1,3,1,3,35,"College","Black","Female","Less than $40k","sporadic","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",1,2,3
1,2,1,1,1,1,52,"College","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,3
3,2,1,1,4,5,29,"High school or less","Other/Mixed","Male","Less than $40k","rarely/never","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","No Preference","Never",1,1,1
2,3,1,2,1,3,32,"College","White","Male","$125k or more","sporadic","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,2,3
1,2,1,1,1,3,25,"High school or less","White","Male","$75-125k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,3,1
1,2,1,2,1,2,32,"High school or less","Black","Female","Less than $40k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,1,1
1,1,1,3,4,3,29,"High school or less","White","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Never",1,1,1
1,1,1,1,1,2,60,"Some college","Black","Female","Less than $40k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,2
3,2,1,3,4,2,33,"College","Black","Female","$40-75k","rarely/never","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Never",2,1,3
1,3,1,1,1,1,48,"High school or less","White","Male","$75-125k","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,1
1,2,1,1,1,2,62,"Some college","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,2
1,2,1,2,1,1,57,"High school or less","White","Male","Less than $40k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,3,1
2,1,2,2,4,3,34,"High school or less","White","Male","Less than $40k","rarely/never","Strongly Agree","Somewhat Agree","Things will be pretty much the same","Independent","Never",1,1,1
1,1,1,1,3,3,32,"College","White","Male","$40-75k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Rarely",2,2,3
2,2,1,2,1,2,47,"College","White","Female","Less than $40k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,3
1,1,2,2,4,5,32,"High school or less","White","Female","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","No Preference","Never",1,1,1
2,2,1,2,1,1,28,"College","Other/Mixed","Male","$40-75k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,1,3
3,3,2,3,1,2,31,"College","Black","Male","$40-75k","always","Somewhat Disagree","Somewhat Disagree","Things will be pretty much the same","Democrat","Always/Almost Always",2,3,3
1,2,1,1,1,1,33,"College","White","Male","$125k or more","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,3
2,4,1,1,1,5,72,"College","White","Female","$125k or more","always","Strongly Disagree","Somewhat Agree","Who wins the Election really matters","No Preference","Always/Almost Always",4,3,3
1,1,1,2,1,2,31,"College","Black","Female","$40-75k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,3
4,4,2,1,4,5,32,"High school or less","White","Female","Less than $40k","rarely/never","Strongly Disagree","Strongly Disagree","Things will be pretty much the same","No Preference","Never",1,1,1
2,2,1,1,2,2,54,"High school or less","Hispanic","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Sometimes",3,2,1
1,1,1,1,1,2,65,"High school or less","White","Male","$40-75k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,1
2,4,1,1,1,3,75,"College","White","Female","$125k or more","always","Strongly Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
1,1,1,2,1,3,66,"College","White","Male","$125k or more","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,2,3
1,2,1,2,1,1,77,"College","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,3
1,1,1,1,1,3,61,"College","White","Male","$125k or more","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
2,2,1,1,1,2,39,"College","White","Female","$125k or more","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
3,2,1,1,1,2,64,"High school or less","Hispanic","Female","$40-75k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,1
-1,-1,-1,-1,-1,-1,30,"High school or less","Black","Female","Less than $40k","rarely/never",NA,NA,NA,NA,NA,1,1,1
3,2,1,2,1,2,57,"Some college","Black","Male","$75-125k","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,2
1,1,1,1,2,5,31,"High school or less","Other/Mixed","Female","$40-75k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","No Preference","Sometimes",2,2,1
2,1,1,2,3,2,33,"Some college","White","Female","Less than $40k","rarely/never","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Rarely",1,1,2
1,1,1,2,1,2,69,"College","Black","Male","$40-75k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,3
2,1,1,3,1,3,31,"Some college","Black","Male","$40-75k","always","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,2
1,4,1,2,1,2,31,"High school or less","Black","Female","Less than $40k","always","Strongly Disagree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,1
4,2,1,2,1,2,32,"High school or less","Black","Male","Less than $40k","rarely/never","Somewhat Agree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,1,1
1,2,2,1,1,1,56,"Some college","Hispanic","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",3,2,2
2,2,2,1,1,2,77,"High school or less","Hispanic","Female","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Democrat","Always/Almost Always",3,2,1
3,3,1,2,4,2,32,"College","Other/Mixed","Male","$40-75k","rarely/never","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Never",2,1,3
1,1,1,1,1,1,62,"High school or less","White","Female","$40-75k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,1
1,1,1,1,1,1,50,"High school or less","White","Female","Less than $40k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,2,1
3,2,1,3,1,2,45,"College","Black","Female","$40-75k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,3
1,2,1,3,1,5,49,"College","White","Female","$125k or more","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","No Preference","Always/Almost Always",4,2,3
1,2,1,3,4,3,63,"Some college","Hispanic","Female","Less than $40k","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Never",1,1,2
2,2,1,2,1,1,61,"College","White","Female","$125k or more","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,3,3
1,1,2,1,1,1,38,"College","White","Male","$40-75k","sporadic","Strongly Agree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",2,2,3
1,2,1,1,1,3,58,"College","White","Male","$125k or more","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
3,4,1,1,1,2,34,"Some college","Black","Female","$40-75k","sporadic","Strongly Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,2
1,1,1,1,1,1,32,"College","White","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,3
1,3,1,1,1,1,78,"High school or less","White","Female","Less than $40k","sporadic","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",1,2,1
2,-1,1,1,2,5,39,"High school or less","Hispanic","Female","Less than $40k","sporadic",NA,"Somewhat Agree","Who wins the Election really matters","No Preference","Sometimes",1,2,1
1,2,1,2,1,1,67,"College","Other/Mixed","Male","$40-75k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,2,3
2,3,1,3,1,2,32,"College","White","Female","$75-125k","rarely/never","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,1,3
2,1,1,2,1,2,52,"High school or less","White","Male","$125k or more","sporadic","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,1
3,3,1,1,1,2,66,"College","White","Male","$125k or more","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,3,3
2,3,2,1,2,2,37,"College","White","Female","$125k or more","rarely/never","Somewhat Disagree","Somewhat Agree","Things will be pretty much the same","Democrat","Sometimes",4,1,3
1,1,2,3,4,5,33,"High school or less","White","Female","$40-75k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","No Preference","Never",2,1,1
1,1,1,1,1,2,75,"College","Black","Female","$75-125k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
3,2,1,2,1,2,68,"Some college","White","Female","$40-75k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,2
2,3,1,1,1,1,85,"Some college","White","Female","$75-125k","sporadic","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,2,2
3,4,1,1,2,1,68,"College","Hispanic","Male","$40-75k","sporadic","Strongly Disagree","Somewhat Disagree","Who wins the Election really matters","Republican","Sometimes",2,2,3
3,1,1,2,1,2,53,"High school or less","White","Male","Less than $40k","sporadic","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,1
1,1,1,2,1,2,60,"High school or less","Black","Male","Less than $40k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,1
1,1,2,1,3,3,37,"High school or less","White","Male","$40-75k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","Independent","Rarely",2,1,1
3,2,1,1,1,5,81,"High school or less","White","Female","$40-75k","always","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","No Preference","Always/Almost Always",2,3,1
2,2,1,3,1,2,64,"College","White","Female","$125k or more","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
1,1,1,1,1,1,47,"High school or less","White","Male","$125k or more","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",4,2,1
3,1,1,1,1,2,43,"College","Hispanic","Male","$125k or more","sporadic","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,3
3,3,1,2,1,2,74,"High school or less","White","Female","$75-125k","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,1
2,2,2,1,1,1,84,"High school or less","White","Female","$40-75k","always","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","Republican","Always/Almost Always",2,3,1
3,1,1,3,1,3,61,"College","Black","Male","$75-125k","sporadic","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,3
3,3,1,4,1,2,63,"College","Black","Female","$75-125k","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
2,2,1,2,1,3,77,"High school or less","White","Female","Less than $40k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",1,3,1
2,2,1,2,1,1,34,"College","White","Female","$40-75k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,2,3
2,1,1,1,1,1,56,"College","White","Female","$75-125k","always","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,3
2,2,1,3,1,3,53,"Some college","White","Female","$40-75k","sporadic","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,2,2
-1,-1,-1,-1,4,-1,57,"High school or less","White","Male","$40-75k","rarely/never",NA,NA,NA,NA,"Never",2,1,1
2,2,1,1,1,1,41,"Some college","White","Female","$40-75k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,2
3,3,1,1,1,2,40,"Some college","Black","Female","Less than $40k","always","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,3,2
2,2,1,2,1,1,81,"Some college","White","Female","$75-125k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Always/Almost Always",3,3,2
1,1,1,1,1,3,22,"Some college","White","Male","$40-75k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,2
1,2,2,1,4,5,51,"High school or less","White","Female","$40-75k","rarely/never","Somewhat Agree","Strongly Agree","Things will be pretty much the same","No Preference","Never",2,1,1
1,1,2,1,1,2,56,"College","Black","Female","$75-125k","always","Strongly Agree","Strongly Agree","Things will be pretty much the same","Democrat","Always/Almost Always",3,3,3
4,1,1,1,2,2,60,"High school or less","Black","Male","$40-75k","rarely/never","Strongly Agree","Strongly Disagree","Who wins the Election really matters","Democrat","Sometimes",2,1,1
1,1,1,1,1,5,41,"College","White","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","No Preference","Always/Almost Always",3,2,3
4,2,1,1,1,1,71,"Some college","White","Male","$40-75k","always","Somewhat Agree","Strongly Disagree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,2
1,2,1,2,2,1,48,"High school or less","White","Male","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Sometimes",3,2,1
2,2,1,2,1,2,59,"High school or less","Black","Female","$40-75k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",2,3,1
2,2,1,1,4,1,44,"College","White","Male","$125k or more","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Republican","Never",4,1,3
1,1,2,1,1,1,27,"Some college","Hispanic","Male","$75-125k","always","Strongly Agree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",3,3,2
1,1,1,1,1,1,60,"High school or less","White","Female","$40-75k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,2,1
1,3,1,2,1,3,29,"College","White","Female","$40-75k","always","Somewhat Disagree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,3,3
1,1,1,2,1,3,35,"College","White","Female","$40-75k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",2,2,3
1,1,2,2,4,2,29,"High school or less","Hispanic","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Things will be pretty much the same","Democrat","Never",1,1,1
2,2,1,2,1,2,62,"Some college","White","Female","$75-125k","always","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,2
1,1,1,2,1,3,70,"High school or less","Other/Mixed","Female","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,1
1,3,2,2,2,3,24,"Some college","White","Male","$40-75k","rarely/never","Somewhat Disagree","Strongly Agree","Things will be pretty much the same","Independent","Sometimes",2,1,2
1,2,1,1,1,1,80,"High school or less","White","Male","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,1
1,1,2,1,1,3,50,"High school or less","White","Male","$40-75k","always","Strongly Agree","Strongly Agree","Things will be pretty much the same","Independent","Always/Almost Always",2,3,1
1,2,2,1,1,1,60,"Some college","White","Female","$75-125k","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",3,2,2
1,2,1,1,1,1,59,"High school or less","White","Female","$40-75k","always","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Republican","Always/Almost Always",2,3,1
1,1,1,3,1,3,39,"Some college","White","Male","Less than $40k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Independent","Always/Almost Always",1,2,2
4,4,1,2,1,2,75,"Some college","Black","Male","$125k or more","sporadic","Strongly Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",4,2,2
2,2,2,2,2,5,31,"High school or less","White","Male","$75-125k","rarely/never","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","No Preference","Sometimes",3,1,1
3,2,1,3,1,2,80,"High school or less","White","Male","Less than $40k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,1
3,1,1,1,1,2,58,"Some college","Black","Female","$40-75k","sporadic","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,2
3,3,1,1,1,2,52,"College","Black","Female","Less than $40k","sporadic","Somewhat Disagree","Somewhat Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,3
2,1,1,1,4,3,57,"Some college","Hispanic","Male","$40-75k","rarely/never","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Independent","Never",2,1,2
1,1,1,1,4,2,52,"High school or less","Hispanic","Female","$40-75k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Never",2,1,1
1,1,1,4,1,2,31,"College","White","Female","$75-125k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
3,2,1,1,1,3,72,"High school or less","White","Female","Less than $40k","sporadic","Somewhat Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",1,2,1
2,3,1,1,1,3,67,"College","Other/Mixed","Female","$125k or more","always","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Always/Almost Always",4,3,3
2,1,1,2,1,2,32,"College","Other/Mixed","Female","Less than $40k","sporadic","Strongly Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Always/Almost Always",1,2,3
2,-1,2,-1,4,4,85,"High school or less","White","Female","Less than $40k","rarely/never",NA,"Somewhat Agree","Things will be pretty much the same","Another Party","Never",1,1,1
2,2,1,1,3,2,36,"College","White","Male","$125k or more","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Democrat","Rarely",4,1,3
4,3,1,1,1,2,73,"Some college","White","Male","$40-75k","sporadic","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",2,2,2
4,3,1,2,1,3,65,"College","Black","Male","$40-75k","sporadic","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Independent","Always/Almost Always",2,2,3
2,3,2,2,2,5,47,"Some college","White","Male","$75-125k","rarely/never","Somewhat Disagree","Somewhat Agree","Things will be pretty much the same","No Preference","Sometimes",3,1,2
2,2,2,3,2,5,33,"High school or less","Black","Female","Less than $40k","sporadic","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","No Preference","Sometimes",1,2,1
4,2,1,2,1,3,45,"College","White","Female","$75-125k","sporadic","Somewhat Agree","Strongly Disagree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,3
2,2,2,2,1,5,77,"College","White","Male","$75-125k","sporadic","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","No Preference","Always/Almost Always",3,2,3
1,1,1,2,4,5,26,"Some college","White","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","No Preference","Never",1,1,2
1,2,2,1,1,1,58,"Some college","White","Male","$125k or more","sporadic","Somewhat Agree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",4,2,2
1,1,1,3,4,5,27,"Some college","Black","Male","Less than $40k","rarely/never","Strongly Agree","Strongly Agree","Who wins the Election really matters","No Preference","Never",1,1,2
2,2,2,2,4,5,32,"Some college","White","Female","$75-125k","rarely/never","Somewhat Agree","Somewhat Agree","Things will be pretty much the same","No Preference","Never",3,1,2
4,3,1,2,1,2,64,"College","White","Female","$75-125k","sporadic","Somewhat Disagree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,3
1,1,2,4,4,3,43,"High school or less","Hispanic","Male","$40-75k","sporadic","Strongly Agree","Strongly Agree","Things will be pretty much the same","Independent","Never",2,2,1
4,1,1,1,1,2,50,"High school or less","Black","Female","$75-125k","sporadic","Strongly Agree","Strongly Disagree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,1
1,3,2,4,1,1,64,"College","White","Female","$40-75k","always","Somewhat Disagree","Strongly Agree","Things will be pretty much the same","Republican","Always/Almost Always",2,3,3
3,1,1,1,1,3,73,"College","White","Male","$75-125k","sporadic","Strongly Agree","Somewhat Disagree","Who wins the Election really matters","Independent","Always/Almost Always",3,2,3
2,2,1,2,2,3,28,"High school or less","White","Female","$75-125k","rarely/never","Somewhat Agree","Somewhat Agree","Who wins the Election really matters","Independent","Sometimes",3,1,1
1,1,1,2,1,2,46,"Some college","White","Male","$75-125k","sporadic","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,2,2
1,2,1,1,2,2,32,"College","Other/Mixed","Male","$125k or more","rarely/never","Somewhat Agree","Strongly Agree","Who wins the Election really matters","Democrat","Sometimes",4,1,3
4,2,1,4,1,3,50,"Some college","Black","Male","$40-75k","sporadic","Somewhat Agree","Strongly Disagree","Who wins the Election really matters","Independent","Always/Almost Always",2,2,2
2,3,1,3,4,3,31,"High school or less","White","Female","Less than $40k","rarely/never","Somewhat Disagree","Somewhat Agree","Who wins the Election really matters","Independent","Never",1,1,1
1,1,1,1,1,2,80,"College","Black","Female","$75-125k","always","Strongly Agree","Strongly Agree","Who wins the Election really matters","Democrat","Always/Almost Always",3,3,3
